position,time_ms
0,220.766
1,216.797
2,215.092
3,215.11
4,215.113
5,217.627
6,215.088
7,215.088
8,215.126
9,215.643
10,216.869
11,216.225
12,215.699
13,215.677
14,216.747
15,216.215
16,215.099
17,215.122
18,215.208
19,216.661
20,215.115
21,215.169
22,216.255
23,215.37
24,215.556
25,215.11
26,215.671
27,215.117
28,218.894
29,215.716
30,215.145
31,215.683
32,215.097
33,215.234
34,215.092
35,215.664
36,215.129
37,215.495
38,218.476
39,215.106
40,215.694
41,215.673
42,217.012
43,215.109
44,215.106
45,215.732
46,215.096
47,215.107
48,215.668
49,215.55
50,215.677
51,215.112
52,215.686
53,215.114
54,215.714
55,215.099
56,215.654
57,215.67
58,215.112
59,215.669
60,215.679
61,216.143
62,215.105
63,215.128
64,215.129
65,215.502
66,215.65
67,215.676
68,215.125
69,215.124
70,215.659
71,215.112
72,215.105
73,215.146
74,215.087
75,216.327
76,215.113
77,216.804
78,216.246
79,216.218
80,215.13
81,215.692
82,215.137
83,215.13
84,215.611
85,216.238
86,215.711
87,215.108
88,215.099
89,215.671
90,215.7
91,215.715
92,215.693
93,217.364
94,215.071
95,215.653
96,215.461
97,215.128
98,215.683
99,215.091
100,215.667
101,215.119
102,216.257
103,216.204
104,215.113
105,216.267
106,216.811
107,216.808
108,215.678
109,216.265
110,216.242
111,215.11
112,216.385
113,215.664
114,215.124
115,215.101
116,215.703
117,215.094
118,215.668
119,215.671
120,215.107
121,216.323
122,215.669
123,216.23
124,215.102
125,215.145
126,215.104
127,215.671
128,215.713
129,215.129
130,215.099
131,215.649
132,215.104
133,215.127
134,215.691
135,215.108
136,215.122
137,215.126
138,215.126
139,215.111
140,216.19
141,215.114
142,216.25
143,216.256
144,215.649
145,215.108
146,215.099
147,215.151
148,215.092
149,215.087
150,215.093
151,215.11
152,215.114
153,215.105
154,215.11
155,215.084
156,215.668
157,215.108
158,215.101
159,215.668
160,215.692
161,215.102
162,215.104
163,215.096
164,215.099
165,215.127
166,215.116
167,215.637
168,215.095
169,215.678
170,215.108
171,215.109
172,215.093
173,215.066
174,215.113
175,215.684
176,215.092
177,215.646
178,215.093
179,215.111
180,215.686
181,216.211
182,215.676
183,215.091
184,215.132
185,215.099
186,215.091
187,215.235
188,215.129
189,215.094
190,215.127
191,215.085
192,215.09
193,215.115
194,215.105
195,215.097
196,215.09
197,215.103
198,215.677
199,215.096
200,215.09
201,215.1
202,215.122
203,215.105
204,215.093
205,215.115
206,215.655
207,216.23
208,215.091
209,215.095
210,215.658
211,215.442
212,215.16
213,215.676
214,215.385
215,215.632
216,215.11
217,215.09
218,215.108
219,215.665
220,215.65
221,215.139
222,215.955
223,215.676
224,215.651
225,215.135
226,215.11
227,215.106
228,215.651
229,215.101
230,215.113
231,215.121
232,215.095
233,215.663
234,215.097
235,215.098
236,215.1
237,215.108
238,215.094
239,215.689
240,215.128
241,215.104
242,216.203
243,215.098
244,215.691
245,215.092
246,215.108
247,215.647
248,215.661
249,216.002
250,215.101
251,215.098
252,215.1
253,215.116
254,215.669
255,215.106
