N,Forward,Backward,Random
1,14,14,14
1,15,15,14
1,14,14,14
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
1,15,15,15
2,15,15,15
2,15,15,15
2,15,15,15
2,15,15,15
2,15,15,15
2,15,15,15
2,15,15,15
2,15,15,15
2,15,15,15
2,15,15,15
2,15,15,15
2,15,15,15
2,15,15,15
2,15,15,15
2,15,15,15
2,15,15,15
2,15,15,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
2,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
4,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
6,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
7,8,8,8
8,8,8,8
8,8,8,8
8,8,8,8
8,8,8,8
8,8,8,8
8,8,8,8
8,8,8,8
8,8,8,8
8,8,8,8
8,8,8,8
8,8,8,8
8,8,8,8
8,8,8,8
8,8,8,8
8,8,8,8
8,8,8,8
9,8,8,8
9,8,8,8
9,8,8,8
9,8,8,8
9,8,8,8
9,8,8,8
9,8,8,8
9,8,8,8
9,8,8,8
9,8,8,8
9,8,8,8
9,8,8,8
9,8,8,8
9,8,8,8
9,8,8,8
9,8,8,8
10,8,8,8
10,8,8,8
10,8,8,8
10,8,8,8
10,8,8,8
10,8,8,8
10,8,8,8
10,8,8,8
10,8,8,8
10,8,8,8
10,8,8,8
10,8,8,8
10,8,8,8
10,8,8,8
10,8,8,8
10,8,8,8
11,8,8,8
11,8,8,8
11,8,8,8
11,8,8,8
11,8,8,8
11,8,8,8
11,8,8,8
11,8,8,8
11,8,8,8
11,8,8,8
11,8,8,8
11,8,8,8
11,8,8,8
11,8,8,8
11,8,8,8
11,8,8,8
12,8,8,8
12,8,8,8
12,8,8,8
12,8,8,8
12,8,8,8
12,8,8,8
12,8,8,8
12,8,8,8
12,8,8,8
12,8,8,8
12,8,8,8
12,8,8,8
12,8,8,8
12,8,8,8
12,8,8,8
12,8,8,8
13,8,8,8
13,8,8,8
13,8,8,8
13,8,8,8
13,8,8,8
13,8,8,8
13,8,8,8
13,8,8,8
13,8,8,8
13,8,8,8
13,8,8,8
13,8,8,8
13,8,8,8
13,8,8,8
13,8,8,8
13,8,8,8
14,8,8,8
14,8,8,8
14,8,8,8
14,8,8,8
14,8,8,8
14,8,8,8
14,8,8,8
14,8,8,8
14,8,8,8
14,8,8,8
14,8,8,8
14,8,8,8
14,8,8,8
14,8,8,8
14,8,8,8
14,8,8,8
15,8,8,8
15,8,8,8
15,8,8,8
15,8,8,8
15,8,8,8
15,8,8,8
15,8,8,8
15,8,8,8
15,8,8,8
15,8,8,8
15,8,8,8
15,8,8,8
15,8,8,8
15,8,8,8
15,8,8,8
15,8,8,8
16,8,8,8
16,8,8,8
16,8,8,8
16,8,8,8
16,8,8,8
16,8,8,8
16,8,8,8
16,8,8,8
17,8,8,8
17,8,8,8
17,8,8,8
17,8,8,8
17,8,8,8
17,8,8,8
17,8,8,8
17,8,8,8
18,8,8,8
18,8,8,8
18,8,8,8
18,8,8,8
18,8,8,8
18,8,8,8
18,8,8,8
18,8,8,8
19,8,8,8
19,8,8,8
19,8,8,8
19,8,8,8
19,8,8,8
19,8,8,8
19,8,8,8
19,8,8,8
20,8,8,8
20,8,8,8
20,8,8,8
20,8,8,8
20,8,8,8
20,8,8,8
20,8,8,8
20,8,8,8
21,8,8,8
21,8,8,8
21,8,8,8
21,8,8,8
21,8,8,8
21,8,8,8
21,8,8,8
21,8,8,8
22,8,8,8
22,8,8,8
22,8,8,8
22,8,8,8
22,8,8,8
22,8,8,8
22,8,8,8
22,8,8,8
23,8,8,8
23,8,8,8
23,8,8,8
23,8,8,9
23,8,8,8
23,8,8,8
23,8,8,8
23,8,8,8
24,8,8,8
24,8,8,8
24,8,8,8
24,8,8,8
24,8,8,8
24,8,8,8
24,8,8,8
24,8,8,8
25,8,8,8
25,8,8,8
25,8,8,8
25,8,8,8
25,8,8,8
25,8,8,8
25,8,8,8
25,8,8,8
26,8,8,8
26,8,8,8
26,8,8,8
26,8,8,8
26,8,8,8
26,8,8,8
26,8,8,8
26,8,8,8
27,8,8,8
27,8,8,8
27,8,8,8
27,8,8,8
27,8,8,8
27,8,8,8
27,8,8,8
27,8,8,8
28,8,8,8
28,8,8,8
28,8,8,8
28,8,8,8
28,8,8,8
28,8,8,8
28,8,8,8
28,8,8,8
29,8,8,8
29,8,8,8
29,8,8,8
29,8,8,8
29,8,8,8
29,8,8,8
29,8,8,8
29,8,8,8
30,8,8,8
30,8,8,9
30,8,8,8
30,8,8,8
30,8,8,8
30,8,8,8
30,8,8,8
30,8,8,8
31,8,8,9
31,8,8,8
31,8,8,8
31,8,8,8
31,8,8,9
31,8,8,9
31,8,8,9
31,8,8,9
32,9,8,9
32,9,8,9
32,9,8,9
32,9,8,9
33,9,8,9
33,9,8,9
33,9,8,9
33,9,8,9
34,9,8,9
34,9,8,9
34,9,8,9
34,9,8,9
35,9,8,9
35,9,8,9
35,9,9,9
35,9,9,9
36,9,9,9
36,9,9,9
36,9,9,9
36,9,9,9
37,9,9,9
37,9,9,9
37,9,9,9
37,9,9,10
38,9,9,10
38,9,9,10
38,9,9,10
38,9,9,10
39,9,9,10
39,9,9,10
39,9,9,10
39,9,9,10
40,9,9,10
40,9,9,10
40,9,9,10
40,9,9,10
41,9,9,10
41,9,9,10
41,9,9,10
41,9,9,10
42,9,9,10
42,9,9,10
42,9,9,10
42,9,9,10
43,9,9,10
43,9,9,10
43,9,9,10
43,9,9,10
44,9,9,10
44,9,9,10
44,9,9,10
44,9,9,10
45,9,9,10
45,9,9,10
45,9,9,10
45,9,9,10
46,9,9,11
46,9,9,11
46,9,9,11
46,9,9,11
47,9,9,11
47,9,9,11
47,9,9,11
47,9,9,11
48,9,9,11
48,9,9,11
48,9,9,11
48,9,9,11
49,9,9,11
49,9,9,11
49,9,9,11
49,9,9,11
50,9,9,11
50,9,9,11
50,9,9,11
50,9,9,11
51,9,9,11
51,9,9,11
51,9,9,11
51,9,9,11
52,9,9,11
52,9,9,11
52,9,9,11
52,9,9,11
53,9,9,11
53,9,9,11
53,9,9,11
53,9,9,11
54,9,9,11
54,9,9,11
54,9,9,11
54,9,9,11
55,9,9,11
55,9,9,11
55,9,9,11
55,9,9,11
56,9,9,11
56,9,9,11
56,9,9,11
56,9,9,11
57,9,9,11
57,9,9,11
57,9,9,11
57,9,9,11
58,9,9,11
58,9,9,11
58,9,9,11
58,9,9,11
59,9,9,11
59,9,9,11
59,9,9,11
59,9,9,11
60,9,9,11
60,9,9,12
60,9,9,12
60,9,9,12
61,9,9,12
61,9,9,12
61,9,9,12
61,9,9,12
62,9,9,12
62,9,9,12
62,9,9,12
62,9,9,12
63,9,9,12
63,9,9,12
63,9,9,12
63,9,9,12
64,9,9,12
64,9,9,12
65,9,9,12
65,9,9,12
66,9,9,12
66,9,9,12
67,9,9,12
67,9,9,12
